id,act_arq,lang_cobol,db_elastic,db_firestore,ben_loan,cert_gweb,cert_itilint,ben_flexhours,lang_python,remote,db_firebasert,cert_pmp,experience,ben_gym,dsc_rapidminer,act_bi,act_dba,ben_housing,cert_testing1,act_infosec,lang_csharp,ben_gas,ben_car,profile,front_xamarin,db_sap,cert_itilpra,act_dir,act_req,cert_sixsigma,db_neo4j,ben_edu,infra_chef,gender,infra_vmware,db_cassandra,db_cosmos,dsc_sas,lang_perl,act_test,ben_lifeins,cert_sap,cert_linux,db_mysql,ben_bonus,ben_healthminor,age,cert_java,lang_delphi,db_oracle,lang_clang,seniority,db_dynamo,lang_php,dsc_h2o,lang_scala,infra_ansible,dsc_alteryx,cert_android,lang_rust,act_prog,infra_oshift,act_soporte,cert_awsdev,cert_infosec,cert_entarch,dsc_watson,ben_homeoffice,lang_vbnet,ben_healthmajor,ben_family,act_spi,edutype,dsc_knime,act_doc,dsc_tf,ben_cafeteria,infra_docker,act_techsales,cert_oracle,act_pm,cert_testing2,infra_ostack,cert_ba,db_pgsql,infra_puppet,act_cons,infra_terraform,english_num,ben_vouchers,cert_gcloudarch,lang_elixir,act_cap,cert_awsarch,act_erp,lang_go,orgtype,cert_cisco,cert_scrum,db_DB2,cert_cgeit,lang_bash,dsc_azureml,dsc_domino,emptype,lang_plsql,lang_groovy,act_front,lang_java,lang_ruby,act_uxd,cert_agile,cert_cobit,lang_swift,act_techwrite,lang_js,dsc_dataiku,cert_gdata,front_angular,lang_kotlin,db_sqlserver,act_ventas,ben_parking,education,front_react,ben_equity,db_redis,cert_msexp,ben_cellphone,infra_k8s,cert_msass,front_vue,db_mongoDB,salarymx_range
1105,Y,,,,Y,,,Y,,N,,,0,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,,,,,,,23,,,,,0,,Y,,,,,,,Y,,,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,3,,,,,,,Y,startup,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,pasante,,,,,,,,,,"(20000, 30000]"
2132,,,,,,,,Y,,N,,,0,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,23,,,,,0,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,4,,,,,,,,itservices,,,,,,Y,,hibrido,,,,,,,,,,,,,,,,,,,universidad,,,,,,,,,,"(20000, 30000]"
2236,,,,,Y,,,Y,,N,,,0,Y,,,,,,Y,,,,godin,,,Y,,,,,Y,,hombre,Y,,,,,,Y,,,,Y,,25,,,,,0,,,,,,,,,,,,,,,,Y,,Y,Y,,escuela,,,,Y,Y,,,,,,,,,Y,,4,Y,,,,,,,itservices,Y,,,,,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,Y,,,,"(20000, 30000]"
2459,,,,,Y,,,Y,,Y,,,0,Y,,,,,,,,,,godin,,,,,,,,Y,,mujer,,,,,,Y,Y,,,,,,23,,,,,0,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,Y,,,,,,,,,,,,3,Y,,,,,,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(20000, 30000]"
1576,,,,,,,,,,N,,,0,,,,Y,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,Y,,,23,,,,,0,,Y,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,gobierno,,,,,,,,honorarios,,,Y,,,,,,,,Y,,,Y,,Y,,,universidad,,,,,,,,,,"(10000, 20000]"
1168,,,,,,,,,Y,N,,,0,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,27,,,,,0,,,,,,,,,Y,,,,,,,,,,,,autodidacta,,,,,,,,,,,,,,,,2,,,,,,,,itservices,,,,,,,,honorarios,,,Y,,,,,,,,Y,,,,,,,,pasante,Y,,,,,,,,,"(10000, 20000]"
2113,,,,,Y,,,,,N,,,0,,,,Y,,,,,,,godin,,,,,Y,,,Y,,hombre,,,,,,,Y,,,,,,28,,,Y,Y,0,,,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,Y,,,,,,,itservices,,Y,,,,,,nomina,,,,Y,,,,,,,Y,,,,,,,,pasante,,,,,,,,,Y,"(10000, 20000]"
152,Y,,,,,,,Y,,N,,,0,,,,,,,,,,,estudiante,,,,,,,,,,hombre,,,,,,,,,,,,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,corp,,,,,,,,hibrido,,,,,,,,,,,,,,,,,,,prepa,,,,,,,,,,"(10000, 20000]"
1229,,,,,,,,,,N,,,0,,,,,,,,,Y,,godin,,,,,,,,,,mujer,,,,,,,,,,,,Y,23,,,,,0,,,,,,,,,Y,,,,,,,,Y,Y,,,escuela,,,,,,,,,,,,,,,,3,,,,,,Y,,isv,,,,,,,,nomina,,,Y,Y,,,,,,,,,,,Y,,,,pasante,Y,,,,,,,Y,,"(10000, 20000]"
1944,,,,,,,,Y,,Y,,,0,,,,,,,,,,,estudiante,,,,,Y,,,,,mujer,,,,,,,,,,,,Y,23,,,,,0,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,Y,,,,,,,,,,,,2,,,,,,,,startup,,,,,,,,becario,,,Y,,,,Y,,,,Y,,,,,,,Y,pasante,,,,,,,,,,"(10000, 20000]"
